ID,Sender_IP,Sender_Port,Target_IP,Target_Port,Transport_Protocol,Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class
10.42.0.211-87.240.165.80-37939-80-6,192.168.2.113,1916,63.245.209.72,443,1,10.66,31.41504798,520,356.4587332,1048,18922,28422.38964,19686,0,13,19,1.461538462,1
10.42.0.211-106.39.162.36-54721-80-6,172.16.0.11,22252,209.62.229.185,9437,2,14.38,8.59,50,40.38461538,106,6,2.923076923,90,0,2,3,1.5,0
172.217.10.2-10.42.0.42-443-48039-6,192.168.5.122,40809,198.164.30.2,53,2,0.95,0.218568665,47,48.01844964,75,115,234.3900461,143,0,1,1,1,1
10.42.0.211-103.235.46.212-38454-443-6,86.108.96.102,14618,172.16.2.11,32245,2,33.17,27.31666667,79,71.33333333,219,81,72,249,0,5,6,1.2,0
203.205.158.62-10.42.0.151-80-43187-6,192.168.2.112,1641,64.202.188.50,80,1,10.85,3.380714286,183,47.53571429,711,17064,5075.464286,17824,0,13,19,1.461538462,1
173.222.142.156-10.42.0.211-443-42135-6,192.168.1.105,11201,91.197.14.147,80,1,6.69,2.330833333,76,64.05555556,1844,111265,10010.94444,114473,0,44,80,1.818181818,0
172.217.10.142-10.42.0.151-443-58992-6,192.168.1.104,18203,97.74.144.108,80,1,103.65,25.17806061,180,130.3636364,1348,56250,24447.21818,58014,0,29,44,1.517241379,1
10.42.0.42-123.125.29.138-41807-80-6,192.168.1.102,2964,66.235.126.96,80,1,2.35,0.824285714,68,107.6428571,548,23214,29252.42857,23978,0,12,19,1.583333333,0
10.42.0.211-10.42.0.1-33458-53-17,192.168.1.102,3394,195.214.219.212,80,1,0.15,2.3184375,0,85.375,80,0,5115.46875,80,0,2,2,1,1
216.58.219.202-10.42.0.42-443-40703-6,192.168.1.101,1311,203.73.24.75,80,1,0.51,0.688132184,107,103.4022989,395,5171,5261.528736,5459,0,7,7,1,0
10.42.0.151-23.203.49.224-47002-443-6,192.168.5.122,54627,198.164.30.2,53,2,0.09,0.218568665,48,48.01844964,76,201,234.3900461,229,0,1,1,1,0
10.42.0.211-77.234.44.201-42664-80-6,192.168.2.108,3533,192.168.5.122,110,1,0.02,2.937229648,39,140.1968408,367,68,3232.103281,792,0,8,16,2,1
10.42.0.42-119.146.74.33-40864-443-6,172.16.0.11,12633,67.98.88.196,25,1,0.09,0.09,1157,1157,1605,188,188,716,0,11,13,1.181818182,0
172.217.3.106-10.42.0.211-443-34291-6,147.32.84.160,13518,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.12.138-10.42.0.151-443-33634-6,62.217.144.116,20232,172.16.0.11,22252,2,11.25,12.95666667,2,27,30,25,26.33333333,53,0,1,1,1,0
202.77.129.150-10.42.0.151-443-48796-6,192.168.3.117,1056,74.200.247.186,80,1,2.2,2.321315789,84,86.21052632,492,14233,13847.05263,14761,0,10,13,1.3,1
10.42.0.211-10.42.0.1-40407-53-17,192.168.4.120,4430,211.233.19.78,80,1,2.39,2.532631579,131,93.68421053,579,11172,4965.736842,11700,0,11,13,1.181818182,1
10.42.0.211-107.22.224.100-37220-443-6,158.65.110.24,47613,158.65.12.103,53,2,0,0.012398725,36,38.84084292,64,262,141.052849,0,0,1,0,0,1
10.42.0.211-64.71.142.120-43198-443-6,158.65.110.24,46340,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
172.217.12.142-10.42.0.211-443-52339-6,192.168.2.106,3228,72.14.204.96,80,1,0.05,8.388461538,0,211.2307692,80,0,797.9230769,40,0,2,1,0.5,1
10.42.0.211-106.11.92.16-50691-443-6,147.32.84.130,4444,192.168.1.169,135,1,0,0,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-104.79.152.104-44339-443-6,81.155.64.115,20142,172.16.0.11,22252,2,19.08,12.72833333,52,52,136,29,94.83333333,113,0,3,3,1,0
10.42.0.211-95.213.11.181-36537-80-6,147.32.84.160,10703,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
10.42.0.211-121.12.98.63-48384-80-6,192.168.4.118,1933,202.172.28.86,80,1,0.48,1.301702128,62,61.73758865,310,4288,12689.92908,4536,0,6,6,1,0
172.217.7.163-10.42.0.211-443-32885-6,147.32.84.160,4590,217.199.111.74,6667,1,3,3,0,0,192,0,0,0,0,4,0,0,1
172.217.10.106-10.42.0.151-443-54407-6,192.168.106.141,1248,4.26.241.126,80,1,0.33,0.336666667,345,345,553,1613,1613,1817,0,5,5,1,1
198.105.244.11-10.42.0.211-80-34218-6,158.65.110.24,51669,205.188.146.193,25,1,3,3.001111111,0,0,120,0,0,0,0,2,0,0,1
172.217.12.206-10.42.0.151-443-53090-6,147.32.84.180,2077,193.227.233.1,53,2,0.25,0.25,52,52,108,134,134,162,0,2,1,0.5,1
10.42.0.211-10.42.0.1-9282-53-17,147.32.84.160,13038,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.10.138-10.42.0.211-443-40045-6,172.16.2.11,3382,10.0.0.254,53,2,0.16,0.725262759,26,86.91753748,54,50,189.2577616,78,0,1,1,1,0
172.217.9.234-10.42.0.151-443-47163-6,192.168.4.119,1158,204.13.161.71,443,1,2.17,17.17945591,462,1079.275797,1342,44979,48387.16135,46339,0,22,34,1.545454545,1
216.58.219.196-10.42.0.211-443-50665-6,147.32.84.160,3061,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
151.101.1.140-10.42.0.211-443-34089-6,192.168.4.120,4815,142.166.14.85,80,1,0.59,12.70285714,156,329,236,2867,27590.57143,2947,0,2,2,1,1
172.217.10.42-10.42.0.151-443-40641-6,192.168.1.104,20157,203.73.24.75,80,1,1.53,0.737964072,97,97.36327345,825,36247,7469.856287,37375,0,18,28,1.555555556,0
10.42.0.211-31.13.80.8-40183-443-6,147.32.84.160,1445,147.32.80.9,53,2,0.1,0.839704755,60,106.0653595,116,103,392.7018256,131,0,2,1,0.5,1
10.42.0.151-10.42.0.1-17601-53-17,192.168.4.120,4256,74.63.40.21,80,1,2.48,9.38839172,0,84.3566879,80,0,165839.6162,0,0,2,0,0,0
10.42.0.211-104.192.110.245-48715-80-6,178.77.71.27,4563,147.32.84.170,3389,1,20.04,11.88387179,1349,1344.276068,3277,20128,20046.64188,77994,0,48,106,2.208333333,1
10.42.0.42-121.12.98.62-52310-80-6,172.16.2.11,32245,124.120.24.39,20142,2,22.32,20.89,52,64.09090909,136,25,36.09090909,53,0,3,1,0.333333333,0
10.42.0.211-10.42.0.1-43705-53-17,86.104.101.185,20927,172.16.2.11,32245,2,34.34,30.93,108,100.25,332,108,88.75,332,0,8,8,1,0
203.205.158.60-10.42.0.211-80-44226-6,172.16.2.11,32245,78.139.163.92,2236,2,0.13,32.15214286,25,96.64285714,53,2,31,30,0,1,1,1,0
172.217.10.42-10.42.0.151-443-51216-6,158.65.110.24,33097,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
157.56.52.31-10.42.0.211-40015-60774-17,192.168.5.122,54894,198.164.30.2,53,2,0.02,0.218568665,47,48.01844964,75,409,234.3900461,437,0,1,1,1,1
10.42.0.211-23.52.146.64-33393-443-6,88.84.206.94,13374,172.16.0.11,22252,2,20,15.68083333,25,49.75,53,2,34.75,30,0,1,1,1,0
10.42.0.211-10.42.0.1-51115-53-17,192.168.4.119,2625,64.202.167.128,80,1,0.43,0.49625,102,100.5,310,548,3968.25,788,0,5,6,1.2,0
10.42.0.151-31.13.71.3-52493-443-6,147.32.84.160,1951,147.32.80.9,53,2,0,0.839704755,50,106.0653595,106,156,392.7018256,184,0,2,1,0.5,1
10.42.0.151-10.42.0.1-57261-53-17,192.168.2.109,2313,63.245.217.20,80,1,0,5.876666667,0,129.3333333,0,0,13382.43333,80,0,0,2,0,0
151.101.117.140-10.42.0.211-443-45524-6,147.32.84.180,2443,184.82.155.108,80,1,0.22,0.253461538,303,299.7692308,511,615,601.8333333,823,0,5,5,1,1
10.42.0.211-47.89.69.217-38703-443-6,147.32.84.160,21676,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
10.42.0.151-52.84.26.222-59414-443-6,192.168.1.103,3069,192.168.5.122,53,2,0.2,4.472957075,68,299.1844197,124,466,8592.470588,522,0,2,2,1,1
10.42.0.151-31.13.71.3-32864-443-6,147.32.84.130,2039,147.32.86.151,135,1,0,0,0,0,96,0,0,0,0,2,0,0,1
217.10.138.216-10.42.0.211-80-37790-6,192.168.5.122,37916,198.164.30.2,53,2,0.02,0.218568665,47,48.01844964,75,409,234.3900461,437,0,1,1,1,1
10.42.0.211-123.125.115.190-56889-80-6,192.168.3.116,2635,192.168.5.122,80,1,100.2,5.268131313,788,302.8333333,2036,48740,8930.106061,100936,0,31,86,2.774193548,0
10.42.0.211-10.42.0.1-40342-53-17,192.168.5.122,60253,198.164.30.2,53,2,0.14,0.218568665,45,48.01844964,73,155,234.3900461,183,0,1,1,1,1
172.217.10.142-10.42.0.151-443-57822-6,192.168.4.118,3462,59.106.65.80,80,1,1.88,0.609565217,65,66.56521739,273,407,404.1304348,615,0,5,5,1,1
202.77.129.150-10.42.0.211-80-40334-6,172.16.2.11,32245,76.117.187.232,16475,2,55.35,32.145,150,97.5,318,12,6.6,180,0,6,6,1,0
172.217.11.46-10.42.0.42-443-35726-6,147.32.84.130,3223,147.32.88.66,135,1,0,0,0,0,96,0,0,0,0,2,0,0,1
239.255.255.250-10.42.0.1-1900-48288-17,66.249.73.56,45278,158.65.110.24,80,1,0.83,0.904045894,244,243.5615942,772,9095,9547.653986,9519,244,10,8,0.8,1
10.42.0.151-14.204.144.143-39503-80-6,192.168.5.122,15354,198.164.30.2,53,2,0.3,0.218568665,42,48.01844964,70,106,234.3900461,134,0,1,1,1,1
172.217.10.138-10.42.0.42-443-33965-6,172.16.2.11,4250,10.0.0.254,53,2,0.53,0.725262759,28,86.91753748,56,49,189.2577616,77,0,1,1,1,0
192.229.163.180-10.42.0.211-443-49989-6,172.16.2.11,5271,10.0.0.254,53,2,0.04,0.725262759,27,86.91753748,55,161,189.2577616,189,0,1,1,1,0
10.42.0.211-66.198.24.225-53143-443-6,147.32.84.130,1119,192.168.1.48,135,1,0,0,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-10.42.0.1-32780-53-17,192.168.4.119,4204,68.178.178.33,80,1,16.02,11.94651429,0,78.43428571,1480,78769,59176.21143,81168,0,37,60,1.621621622,0
10.42.0.211-23.208.168.108-52570-443-6,85.238.96.178,7314,172.16.2.11,32245,2,32.26,22.01,79,135.5,219,81,107.25,249,0,5,6,1.2,0
209.85.201.188-10.42.0.42-5228-35607-6,192.168.5.122,4549,198.164.30.2,53,2,0.13,0.218568665,42,48.01844964,70,91,234.3900461,119,0,1,1,1,1
180.149.134.221-10.42.0.211-80-45536-6,147.32.84.130,3306,222.189.228.111,3389,1,61.28,59.68460478,81,79.05514706,658,403,401.2490809,571,0,12,4,0.333333333,1
10.42.0.42-52.84.1.59-42148-443-6,172.16.0.11,8693,212.95.7.75,53,2,0.07,0.2640539,41,35.32282745,69,295,243.6849378,323,0,1,1,1,0
10.42.0.211-10.42.0.1-7951-53-17,172.16.0.11,14004,212.95.7.75,53,2,0.38,0.2640539,45,35.32282745,73,170,243.6849378,198,0,1,1,1,0
10.42.0.211-10.42.0.1-26711-53-17,147.32.84.150,4549,74.125.67.27,25,1,0,1.444,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-23.23.129.231-56234-443-6,172.16.0.11,22252,190.72.83.200,7631,2,0.21,6.980769231,25,36.53846154,53,2,2.153846154,30,0,1,1,1,0
172.217.10.42-10.42.0.151-443-59722-6,192.168.4.121,58941,207.46.21.124,443,1,1.55,39.98,10493,24886,11477,13234,8089,14767,0,24,22,0.916666667,1
180.149.138.210-10.42.0.211-80-41332-6,158.65.110.24,59437,158.65.12.103,53,2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
10.42.0.211-64.71.142.96-34867-443-6,192.168.4.120,1055,142.166.14.78,80,1,14.83,11.32536364,525,626.5454545,2085,88939,49553.83636,91419,0,39,62,1.58974359,1
10.42.0.211-34.193.204.145-40533-443-6,158.65.110.24,51297,158.65.12.103,53,2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
203.205.158.61-10.42.0.211-80-60016-6,192.168.5.122,38844,198.164.30.2,53,2,0.01,0.218568665,56,48.01844964,84,772,234.3900461,800,0,1,1,1,1
10.42.0.211-40.69.164.26-52208-443-6,147.32.84.170,1149,208.100.44.138,22,1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
169.45.219.236-10.42.0.151-5222-35273-6,172.16.0.11,22252,24.116.70.139,9784,2,32.65,8.412307692,75,40.38461538,159,2,2.461538462,30,0,3,1,0.333333333,0
10.42.0.211-10.42.0.1-43877-53-17,147.32.84.180,4618,212.117.171.138,65500,1,0.02,48.82570156,0,16651.72383,80,0,7709.298441,40,0,2,1,0.5,1
172.217.11.14-10.42.0.151-443-36178-6,147.32.84.180,3714,98.139.175.224,25,1,0,2.03635274,0,0,96,0,0,0,0,2,0,0,1
151.101.1.140-10.42.0.151-443-41498-6,147.32.84.170,3424,208.123.82.228,22,1,0.16,0.16,0,0,96,0,0,40,0,2,1,0.5,1
203.130.53.126-10.42.0.211-80-53454-6,147.32.84.180,3419,212.108.161.22,25,1,2.98,2.98,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-10.42.0.1-22857-53-17,147.32.84.130,4765,147.32.84.181,135,1,0.01,2.453414634,1170,1001.739837,2916,310,487.8373984,558,0,14,6,0.428571429,1
172.217.6.234-10.42.0.211-443-44970-6,172.16.2.11,12584,10.0.0.254,53,2,0.05,0.725262759,33,86.91753748,61,49,189.2577616,77,0,1,1,1,0
10.42.0.42-125.39.133.40-32991-80-6,192.168.2.109,2012,203.73.24.75,80,1,0.53,1.355411481,125,92.436188,413,6308,9696.138956,6636,0,7,8,1.142857143,1
10.42.0.211-27.221.28.141-55422-80-6,158.65.110.24,54514,204.15.73.242,80,1,0.17,0.187234043,149,149,469,2202,2202,2522,2351,6,6,1,1
192.229.173.173-10.42.0.211-443-50034-6,147.32.84.160,8172,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
203.205.158.62-10.42.0.211-80-36793-6,158.65.110.24,36324,158.65.12.103,53,2,0,0.012398725,61,38.84084292,0,106,141.052849,0,0,0,0,0,1
10.42.0.211-10.42.0.1-8867-53-17,147.32.84.180,4272,216.17.3.48,25,1,0,1.993333333,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-23.206.162.129-41617-80-6,147.32.84.180,2024,217.163.21.40,80,1,0.19,0.196514286,393,1503.337143,681,4927,2319.577143,5215,0,7,7,1,1
198.11.132.221-10.42.0.42-443-46948-6,172.16.2.11,32245,122.168.72.255,19636,2,11.2,11.2,50,50,106,0,0,0,0,2,0,0,0
10.42.0.151-10.42.0.1-60518-53-17,192.168.1.101,4364,67.212.184.66,80,1,100.82,23.97631841,118,151.0331675,806,29168,35953.04146,30096,0,17,23,1.352941176,0
10.42.0.42-123.59.190.237-58925-80-6,147.32.84.180,3110,205.188.59.194,25,1,0,1.93375,0,0,96,0,0,0,0,2,0,0,1
172.217.10.78-10.42.0.151-443-43164-6,147.32.84.150,3728,74.125.148.14,25,1,0,0.588,0,0,96,0,0,0,0,2,0,0,1
10.42.0.151-10.42.0.1-7756-53-17,147.32.84.180,2079,212.95.60.73,53,2,0.25,0.25,52,52,108,26,26,54,0,2,1,0.5,1
10.42.0.151-54.239.26.255-35502-443-6,147.32.84.160,22090,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
171.84.4.11-10.42.0.211-80-33601-6,192.168.5.122,34739,198.164.30.2,53,2,0.81,0.218568665,49,48.01844964,77,253,234.3900461,281,0,1,1,1,1
172.217.7.2-10.42.0.211-443-48579-6,192.168.4.118,3101,184.73.4.119,80,1,0.11,0.220902613,78,76.68171021,326,1515,2938.308789,1763,0,6,6,1,1
10.42.0.151-10.42.0.1-11641-53-17,192.168.4.120,1591,142.166.14.78,80,1,4.65,11.32536364,585,626.5454545,4265,223225,49553.83636,229705,0,92,162,1.760869565,1
10.42.0.211-47.93.77.90-50695-80-6,172.16.0.11,2263,212.95.7.75,53,2,0.06,0.2640539,33,35.32282745,61,165,243.6849378,193,0,1,1,1,0
216.58.218.227-10.42.0.151-443-60040-6,172.16.2.11,25487,10.0.0.254,53,2,0.1,0.725262759,34,86.91753748,62,50,189.2577616,78,0,1,1,1,0
10.42.0.211-74.6.105.13-33285-443-6,147.32.84.180,2081,174.37.196.55,80,1,3.01,2.685888689,0,14.15918612,96,0,0,0,0,2,0,0,1
174.35.73.148-10.42.0.211-80-49389-6,192.168.3.117,2649,208.66.205.221,80,1,0.74,10.64925,98,128.0125,546,16769,21334.475,17377,0,11,15,1.363636364,0
10.42.0.151-72.21.206.121-40445-443-6,147.32.84.180,3899,205.188.103.1,25,1,3,1.628115942,0,0,192,0,0,0,0,4,0,0,1
10.42.0.211-10.42.0.1-34065-53-17,172.16.2.11,32245,81.190.136.110,27570,2,55.21,37.87619048,150,105.5714286,318,8,73.52380952,120,0,6,4,0.666666667,0
172.217.12.163-10.42.0.151-443-44605-6,192.168.3.115,1079,74.220.195.150,80,1,4.85,2.605589226,45,109.9848485,653,25627,11775.58249,26475,0,15,21,1.4,1
10.42.0.211-10.42.0.1-36020-53-17,147.32.84.160,16084,74.125.39.27,25,1,2.9,1.496907994,0,0,192,0,0,0,0,4,0,0,1
172.217.9.226-10.42.0.151-443-37536-6,158.65.110.24,53025,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
183.79.250.123-10.42.0.211-443-60628-6,147.32.84.170,2216,124.146.227.255,22,1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
175.100.207.232-10.42.0.211-443-44060-6,147.32.84.170,1619,124.146.225.170,22,1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
172.217.2.110-10.42.0.151-443-33844-6,192.168.1.104,20423,202.210.143.140,80,1,0.43,0.446086957,67,67.08695652,275,197,210.2463768,405,0,5,5,1,0
10.42.0.211-10.42.0.1-31945-53-17,192.168.3.115,2041,72.233.44.59,80,1,10.19,8.789032258,436,224.5483871,996,20596,9096.967742,21276,0,14,17,1.214285714,1
10.42.0.211-10.42.0.1-58139-53-17,158.65.110.24,49390,158.65.12.103,53,2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
180.149.136.247-10.42.0.211-80-60922-6,192.168.4.118,3242,97.74.104.201,80,1,0.88,8.015,0,26,80,0,55117.5,80,0,2,2,1,1
198.105.244.11-10.42.0.151-80-54721-6,158.65.110.24,55588,158.65.12.103,53,2,0,0.012398725,38,38.84084292,66,89,141.052849,0,0,1,0,0,1
10.42.0.211-23.208.146.200-46055-443-6,192.168.5.122,53013,198.164.30.2,53,2,0.03,0.218568665,43,48.01844964,71,178,234.3900461,206,0,1,1,1,1
10.42.0.42-103.235.46.212-48455-80-6,192.168.1.101,3892,192.168.5.122,80,1,26.01,5.993250518,157,189.4513458,445,855,8629.656315,2206,0,7,12,1.714285714,1
10.42.0.211-10.42.0.1-1062-53-17,147.32.84.160,14411,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
10.42.0.211-66.198.24.240-34383-443-6,192.168.5.122,47505,198.164.30.2,53,2,0.01,0.218568665,53,48.01844964,81,176,234.3900461,204,0,1,1,1,1
10.42.0.151-10.42.0.1-24108-53-17,147.32.84.180,2032,98.139.54.60,25,1,3,1.735904059,0,0,192,0,0,0,0,4,0,0,1
10.42.0.211-104.192.110.245-59651-443-6,192.168.3.115,2317,202.72.50.129,80,1,0.72,12.10527778,43,27.01388889,123,0,64416.01389,80,0,2,2,1,0
169.55.67.247-10.42.0.211-5222-60190-6,147.32.84.160,6380,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.12.206-10.42.0.211-443-55786-6,172.16.0.11,8804,212.95.7.75,53,2,0.56,0.2640539,45,35.32282745,73,111,243.6849378,139,0,1,1,1,0
209.10.120.26-10.42.0.211-80-41775-6,192.168.1.105,16914,64.12.246.205,80,1,0.47,7.02,0,45.27272727,80,0,84561.45455,40,0,2,1,0.5,0
10.42.0.211-10.42.0.1-54705-53-17,172.16.0.11,13514,212.95.7.75,53,2,0.1,0.2640539,29,35.32282745,57,498,243.6849378,526,0,1,1,1,0
182.22.31.252-10.42.0.211-443-54161-6,147.32.84.160,7929,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.11.35-10.42.0.151-443-35119-6,147.32.84.180,3132,94.248.9.208,6667,1,2.94,1.268,0,0,96,0,0,0,0,2,0,0,1
10.42.0.1-10.42.0.42-53-58334-17,147.32.84.170,1798,208.100.47.19,22,1,0,1.44,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-10.42.0.1-2475-53-17,172.16.2.11,32245,79.112.105.149,4063,2,55.75,36.31785714,175,118.3571429,371,338,175.2142857,534,0,7,7,1,0
172.217.12.206-10.42.0.151-443-56389-6,147.32.84.160,3785,147.32.80.9,53,2,0,0.839704755,58,106.0653595,114,271,392.7018256,299,0,2,1,0.5,1
10.42.0.151-104.244.42.194-45254-443-6,192.168.3.117,2052,208.66.205.221,80,1,2.25,10.64925,66,128.0125,554,17941,21334.475,18629,0,12,17,1.416666667,0
10.42.0.211-98.139.180.180-54401-443-6,172.16.2.11,32245,201.240.90.219,26412,2,49.17,28.385,100,98.3,212,0,76.9,0,0,4,0,0,0
